Record Group,Series,Series Name,Contents,Barcode,Notes
9225,006,George Caley Genealogical Research Files,Adams - Sussex County,514561,2 folders
9225,002,Conrad - Tatnall Genealogy,"Adams , Truitt",409469,
9225,006,George Caley Genealogical Research Files,Ake,514561,
9225,006,George Caley Genealogical Research Files,Albany,514561,
9225,006,George Caley Genealogical Research Files,Albright - Albrechts,514561,
9225,006,George Caley Genealogical Research Files,Alderson - Register Genealogy,514561,
9225,006,George Caley Genealogical Research Files,Alexander,514561,
9225,006,George Caley Genealogical Research Files,Alexander & Price,514561,
9225,002,Conrad - Tatnall Genealogy,Allee,409469,
9225,006,George Caley Genealogical Research Files,Allee,514562,9 folders
9225,001,Family Genealogies,Allee,409471,
9225,006,George Caley Genealogical Research Files,Allee/Alyea,514561,9  folders
9225,006,George Caley Genealogical Research Files,"Allison, Elizabeth",514562,
9225,001,Family Genealogies,"Alrich, Alricks",409471,
9225,002,Conrad - Tatnall Genealogy,Alricks,409469,
9225,001,Family Genealogies,"Alricks & land records, Baynard, Bostwick, Cardeen, Davis, Draper, Fisher, Freeman, Laws, Layton, Lindale, Luff, Marim, Parker, Polk, Reed, Tilney, Wharton",409471,labeled folder #1
9225,006,George Caley Genealogical Research Files,America - Millis - Caldwell - Price,514562,
9225,006,George Caley Genealogical Research Files,Anderson,514562,
9225,001,Family Genealogies,Anderson,409471,3 folders
9225,006,George Caley Genealogical Research Files,Anderson - Musgrove - McVey,514562,
9225,006,George Caley Genealogical Research Files,"Anderson, George",514562,
9225,006,George Caley Genealogical Research Files,"Anthony, Mary",514562,
9225,006,George Caley Genealogical Research Files,Appleby - Hoffecker,514562,
9225,006,George Caley Genealogical Research Files,Appleton,514562,
9225,006,George Caley Genealogical Research Files,Arrants,514562,
9225,006,George Caley Genealogical Research Files,"Asbury, Francis",514562,
9225,006,George Caley Genealogical Research Files,Ashcraft,514562,
9225,006,George Caley Genealogical Research Files,Aspendale - Downs Family,514562,
9225,001,Family Genealogies,"Atkins, Adkins",409471,
9225,001,Family Genealogies,Atwater,409471,
9225,006,George Caley Genealogical Research Files,Aurellius,514562,
9225,002,Conrad - Tatnall Genealogy,Aydellotte,409469,
9225,001,Family Genealogies,Ayres and allied families,409471,
9225,006,George Caley Genealogical Research Files,Bacon,514563,
9225,001,Family Genealogies,"Badley, Bradley",409471,
9225,006,George Caley Genealogical Research Files,"Bailey, Mason",514563,
9225,006,George Caley Genealogical Research Files,"Bailey, Thomas D.",514563,
9225,000,McCurdy Genealogy,"Bainum, Baynum, Banum, Bennam, Bainham, Bayham",409485,
9225,006,George Caley Genealogical Research Files,Baker,514563,
9225,006,George Caley Genealogical Research Files,Baldwin,514563,
9225,001,Family Genealogies,Baldwin,409471,
9225,002,Conrad - Tatnall Genealogy,Ball,409469,
9225,001,Family Genealogies,"Banning, Lowber",409471,
9225,003,Caleb McGee Genealogy,"Barber, Barbour",409484,
9225,006,George Caley Genealogical Research Files,"Barcus, William",514563,
9225,002,Conrad - Tatnall Genealogy,Barker,409469,
9225,006,George Caley Genealogical Research Files,Barnes,514563,
9225,006,George Caley Genealogical Research Files,Barnes - Heavelo,514563,
9225,006,George Caley Genealogical Research Files,"Barr, Rosa and Lee",514563,
