ID,Subject,Sub-Catagory,Year,Barcode #
2,Agricultural,Museum,,487158
1,Agriculture,,,487158
3,Allee,Building,,487158
4,Alleen,Building - Green Storehouse,,487158
5,Amish,,,487158
6,Annapolis,Maryland,,487158
8,Architecture,,,487158
7,"Argall, Samuel",,,487158
9,"Arthurs, Stanley",,,487158
10,"Arthurs, Stanley M.",,,487158
14,Arts,Performing,,487158
13,Arts,Literary,,487158
12,Arts,Graphic,,487158
11,Arts and Crafts,,,487158
15,Baptist Church,,,487158
16,Barratt's,,,487158
17,"Bassett, Richard",,,487158
18,Battleship,Delaware,,487158
19,Bayard,,,487158
20,"Bedford, Gunning, Jr.",,,487158
21,Bells,,,487158
22,Belmont Hall,,,487158
27,Bicentennial,Dover,1987,487158
32,Bicentennial,Park/Liberty,,487158
31,Bicentennial,Jefferson Foundation Meetings,,487158
30,Bicentennial,,1997,487158
28,Bicentennial,Return Day,1986-1987,487158
26,Bicentennial,Annapolis,1987,487158
25,Bicentennial,A.M. Bar Association,1987,487158
24,Bicentennial,,1986,487158
23,Bicentennial,,1976,487158
29,Bicentennial,,1988-1992,487158
410,"Bissell, Emily",,1979-1986,487157
33,Blacks,,,487158
424,Blue Coat Inn,,,487158
34,Book Reviews,,,487158
36,Boundaries,"Bulge, Horn, Wedge",,487158
42,Boundaries,Trans-Peninsular Line,,487158
41,Boundaries,Story of PA-MD-DE (George & Virginia Schaun),1963,487158
40,Boundaries,Snapshots,,487158
39,Boundaries,Newsclippings,,487158
35,Boundaries,,,487158
37,Boundaries,Delaware's Now and Then,,487158
392,Boundaries,Penn's Claim,1789-1814,487166
396,Boundaries,Pea Patch Island Case,1847-1848,487166
397,Boundaries,New Jersey vs Delaware,1919,487166
394,Boundaries,Deed to Lower Delaware,,487166
402,Boundaries,"Morris, Jacob Giles",,487166
391,Boundaries,Penn Family,,487166
38,Boundaries,"Intersection Stone ""Wedgestone""",,487158
43,Boundary,Markers,,487158
44,Bradford City,Rev. Thomas B. Bradford,,487158
45,Bryans,Bottles,,487158
46,"Buckson, David Penrose",,,487158
47,Bullen,Building,,487158
48,Camden,Delaware,,487158
65,Cannon,Genealogy,,487159
58,"Cannon, Annie Jump",New England Historic Genealogical Society,,487159
49,"Cannon, Annie Jump",,,487158
50,"Cannon, Annie Jump",,1989,487158
51,"Cannon, Annie Jump",Annie and the Stars of Many Colors (Barb. Welther),,487158
52,"Cannon, Annie Jump",Annie and the Stars of Many Colors (By JCR),,487158
53,"Cannon, Annie Jump",Delaware Public Archives,,487158
54,"Cannon, Annie Jump",Dover Public Library,,487159
55,"Cannon, Annie Jump",And Family,,487159
57,"Cannon, Annie Jump","Bureau of Museums & Historic Sites, DHCA",,487159
63,"Cannon, Annie Jump","Welther, Barbara",,487159
56,"Cannon, Annie Jump",Mt. Cuba,,487159
64,"Cannon, Annie Jump",Wesley United Methodist Church,,487159
62,"Cannon, Annie Jump",University of Delaware,,487159
61,"Cannon, Annie Jump",Photo Enlargements,1989,487159
60,"Cannon, Annie Jump",Parker Library Wesley College,,487159
59,"Cannon, Annie Jump",Newsclippings,,487159
66,"Cannon, William",Governor,,487159
67,"Cannon, Wilson Lee",,,487159
68,Cannon's Ferry,And Patty,,487159
69,Capitol Hotel,,,487159
