RG,SG,Series,Barcode,Date,Caption,General Description,Item,Ordered By,Owber,Colored,Height,Width,Pub/Printer,Condition
3840,000,006,,11/06/1886,"Trustee's sale of Valuable real estate situated in West Dover Hundred, Kent County. In front of County Building in Dover","Land situated on the Public road leading from Willow Grove to Hazlettville, also parcel of woodland. 57 acres and 43 perches and 7 acres and 89 perches.  7 copies",Land and woodland,Orphans' Court,William Bedwell,FALSE,"20 1/4""","14""",James Kirk and Son,Fair
3840,000,006,,11/04/1887,"Trustee's sale of Valuable real estate situated in Mispillion Hundred, Kent County. Held in front of the hotel kept by James Satterfield in Harrington","Farm or tract of land adjoining lands of Robert Anthony, lands of heirs of Benjamin Webster and others.  30 acres and 60 square perches.  6 copies",Farm,Orphans' Court,Mary C. Cain,FALSE,"19 1/2""","13 7/8""",James Kirk and Son,Poor
3840,000,006,,10/27/1898,"Trustee's sale of Valuable real estate situated in West Dover Hundred, Kent County.","Farm or tract of land on public road from Dover to Day's Bridges, adjoining lands of Margaret B. Burchenal. Sale at front door of County Building.  32 acres and 36 square perches.  8 copies",Farm with 2 story frame dwelling and out buildings,Orphans' Court,Thomas S. Moore,TRUE,"20 7/8""","14 3/8""",,Fair
3840,000,006,,08/31/1896,"Executor's sale of Valuable real estate situated in North Murderkill Hundred, Kent County.","Farm on public road form Kent County Alms House to Willow Grove, adjoining lands of John H. Berry, Asa Driffen, Daniel L. McBride.  120 acres",Farm,Orphans' Court,Willard A. Gray,FALSE,"22 1/4""","14 3/4""",,Poor
3840,000,006,,07/12/1898,"Trustee's sale of Valuable real estate situated in Mispillion Hundred, Kent County.","1. Farm adjoining Willard Brown, Samuel S. Harrington, William L. Masten etc. 191 acres and 100 square Perches. 2. Farm adjoining Noah Cain, James Henderson, James Moore, etc. 3. Woodland adjoining LL Sapp, Elizabeth Forman etc. 4. Lot in Harrington. 5. Lot in Harrington. 6. Lot in Harrington","Farm, woodland and town lots.",Orphans' Court,William H. Masten,FALSE,"22""","19""",,Fair
1325,000,231,508331,09/29/1800,To the Citizens of the State of Delaware,Articles by people who seem to be on George Cummins' side in the squabble between Cummins and Patterson. The problem of Cummins buying Patterson property then Cummins selling it before Patterson could buy it back.,,,,FALSE,"21""","15 1/2""",,Poor
1325,000,231,508331,10/3/1800,To the Citizens of the State of Delaware,"George Patterson couldn't pay his bills. Things were sold at sale and George Cummins, a ""Friend"" said he will buy the property etc. then Patterson could buy them back as he could. Instead Cummins sold all he got at the sale for double the amount.",,,,FALSE,"12 3/4""","15 3/4""",,Poor
1325,003,231,508327,07/23/1879,The Willey Imbroglio,"Confessions and witnesses concerning Reverend Willey holding hands, flirting etc, with women in his congregation - Townsend Church.  Testimony in the Willey - Salmon Case of and improper relationship between Rev. J. H. Willey and Mrs. Anne Salmon.  Also the ministerial committee's report of the proceedings.",,,,FALSE,"16 3/4""","6 3/4""",,Poor
1325,000,231,508334,[1838],"Agreeably to previous notice given, the ""citizens of the town of New Castle and its Vicinity, the Friends of Temperance and Morality, of Liberty and Equal Rights","Adoption of Resolutions for Temperance, and Against Drunkenness, Selection of William P Veacy, Esq. Chairman, O. R. Barrell, Secretary, Samuel Burnham Esq. Chairman Protem.",,,,FALSE,"12""","9""",,Poor
1325,000,231,508333,1836,Slave Market of America,"Abolition of slavery in the District of Columbia Illusions - Reading of Declaration of Independence, Part of Washington City, Capitol of U. S. Jail in Alexandria, Jail in Washington, Interior of Washington Jail, Slave House of J. W. Neal Co, Slave ship in Alexandria, and Franklin and Armfields Slave Prison.",,,,FALSE,"27 3/4""","21 3/4""",American Anti-slavery society William S. Dorr (pr),"Small amount of dirt, left top corner stained, right top corner fragile"
