Last Name,First Name,Middle,Prefix/Suffix,Comments,Started Serving,Ended Serving,Elected,GA #,District,County,Party,Office,Position,Ref,Barcode
Abberger,William,,,,1917,1921,,,3,NC,,Wilmington City Council,,RG5100 Box 1,131598
Abbott,S.,John,,,1899,1900,,,,KC,,State Senator,,,
Abbott,S.,John,,,1901,1902,,,,SC,,State Senator,,,0
Abbott,Charles,D.,,,1904,1905,,,1,SC,,State Representative,,,
Abbott,Charles,D.,,,1906,1907,,,1,SC,,State Representative,,,
Ableman,Benjamin,,,,1936,1936,,,,,,Chief Clerk of the House,,,0
Ableman,Benjamin,,,,1937,1937,,,,,,Chief Clerk of the House,,,0
Abraham,Alexander,R.,,1934 Special Session,1934,1934,,104,3,NC,,State Representative,,,0
Abrahams,Alexander,R.,,,1919,1927,,,5,NC,,Wilmington City Council,,RG5100 Box 1,131598
Abrahams,Edward,,Jr.,,1939,1940,,107,2,NC,,State Senator,,,
Adams,William,,,,1795,1795,,,,KC,,State Representative,,,
Adams,Elisha,,,,1796,1796,,,,SC,,State Representative,,,
Adams,Elijah,,,,1800,1802,,,,SC,,State Representative,,,
Adams,Levi,,,,1801,1801,,,,NC,,State Representative,,,
Adams,John,,,,1807,1808,,,,KC,,State Representative,,,
Adams,John,,,,1823,1823,,,,KC,,State Representative,,,
Adams,Nicholas,W.,Esq.,,1831,1834,,,,SC,,State Representative,,,
Adams,Levin,H.,Esq.,,1843,1844,,,,KC,,State Representative,,,
Adams,Levin,H.,Dr.,,1849,1850,,,,KC,,State Senator,,,
Adams,Levin,H.,Dr.,,1851,1852,,,,KC,,State Senator,,,0
Adams,John,H.,,,1861,1864,,,,NC,,Alderman; Wilmington,,RG5100 Box 1,131598
Adams,Charles,M.,Esq.,,1865,1866,,,,KC,,State Representative,,,
Adams,John,H.,,,1865,1869,,,4,NC,,Wilmington City Council,President 1867-1869,RG5100 Box 1,131598
Adams,John,H.,,Joseph K. Adams appointed vice to John H. Adams 46th Session,1873,1877,,,6,NC,,Wilmington City Council,,RG5100 Box 1,131598
Adams,Joseph,K.,,Joseph K. Adams appointed vice to John H. Adams 46th Session,1876,1882,,,6,NC,,Wilmington City Council,,RG5100 Box 1,131598
Adams,Jacob,H.,,,1885,1886,,,,SC,,State Representative,,,
Adams,Charles,M.,Esq.,,1897,1898,,,,KC,,State Representative,,,
Adams,Wilbur,L.,,,1932,1934,,,,,,,,,
Adams,Norris,C,,"State Manuals, RR at Archives",1941,1943,,,,,,,,,0
Adamson,Thomas,M.,,1936 Special Session,1936,1936,,105,6,NC,R,State Representative,,,
Adamson,Thomas,M.,,,1937,1938,,106,6,NC,R,State Representative,,,
Adkins,George,S.,,,1835,1839,,,,,,State Auditor,,"Journal, Conrad p. 260",
Adkins,John,W.,Esq.,,1845,1846,,,,KC,,State Representative,,,
Ahern,Harry,P.,,,1917,1918,,96,10,NC,R,State Representative,,,
Aikin,John,,,,1859,1863,,,2,NC,,Wilmington City Council,,RG5100 Box 1,131598
Ainscow,Alfred,L.,,,1909,1910,,,2,NC,,State Representative,,,
Albert,Samuel,G.,,,1961,1964,,,9,NC,,Wilmington City Council,,RG5100 Box 1,131598
