Input Order,Gen Reference,Title,Description,Dates,Folder,Keywords,Notes
1,1,Delaware - 1792,"Book Excerpt on Delaware from ""The American Geography or, a View of the Present Situation of the United States of America,"" by Jedidiah Morse.  Published in 1792",1792,,Geography,
2,2,Amstel House,Transcript and copy of the original deed for the land which the Amstel House now occupies.,1706,,Amstel,
3,3,Population Estimates,"1930, 1947-70, 1977-78 Population Estimates","1930, 1947-70, 1977-78",,"Population, Statistics, Demographics",
4,4,Naudain Family Papers 1671-1856,Microfilm Checklist of Naudain Family Papers and photocopies of family papers.  See Reference Reels Genealogy #G-15 for microfilm version.,1671-1856,,Naudain,
5,5,Revolutionary War Uniforms,1977 Newspaper Clipping,,,"Revolutionary War, Military, Uniforms",
6,6,Moors,"Edward Heite's research paper ""The 'invisible' Indians of Kent County""",,,"Moors, Indians, Heite",
7,7,Assault Case vs. Charity Brinkle,Depositions in a case tried before the Kent County Court of Oyer and Terminer Oct. 1737,1737,,"Assault, Penology, Crime, Apprentice",
8,8,Georgetown Square (History of Trees),"Transcript of May 9, 1935 article in THE SUSSEX COUNTIAN ""Story of the Planting of our Public Square,"" by Mrs. Robert G. Houston.",,,"Trees, Georgetown",
9,9,"Lewes (Hoorn, North Holland & deVries)","Article from the July 1969 issue of Halve Maen Magazine, ""Highlights of History of Hoorn, North Holland.""",,,"Lewes, Zwaanendael, deVries",
10,10,The 12 Mile Circle 1737-1849 (Plot of New Caslte),Miscellaneous manuscripts,1737-1859,,"Boundaries, New Castle, Boundary, Twelve Mile Circle",
11,11,Kent County Temperance Society,Miscellaneous Manuscripts,,,Temperance,
12,12,Welsh Tract Families,"""Index to the genealogy of some early Welsh Tract Families who left Wales in 1701 and located in the spring of 1703 in Pencander Hundred, New Castle County, Delaware,"" by Mrs. Glenn S. Skinner.",1945,,"Genealogy, Welsh Tract",
13,13,"George Washington, (Purchase of his Portrait 1800)",Manuscript records recording the General Assembly's commission for a portrait of George Washington to be painted by Denis Volozan.,1800-1836,,"George Washington, Portrait, Paintings, Presidents",
14,14,State Board of Agriculture,"History of the ""State Laboratory of the State Board of Agriculture""",,,"Agriculture, State Laboratory",
15,15,Revolutionary War Activities at Christiana Bridge,,,,"Revolutionary War, Military, Christiana Bridge",
16,16,"War of 1812, Claims Vouchers","Photostats of ""supposed"" Delaware Papers of 1812 War Claim Vouchers",,1,"War, 1812, Military",
17,16,"War of 1812, Claims Vouchers",,,2,"War, 1812, Military",
18,16,"War of 1812, Claims Vouchers",,,3,"War, 1812, Military",
19,16,"War of 1812, Claims Vouchers",,,4,"War, 1812, Military",
20,16,War Claims 1812,"Miscellaneous manuscripts; includes Historical Society of Delaware's ""Causes of the War of 1812"" teachers manual.",,5,"War, 1812, Military",
21,16,References to the War of 1812,Suggested Bibliography,,6,"War, 1812, Military",
22,17,Delaware Papers from Pennsylvannia,Miscellaneous Manuscripts; dealing with the transcribing of records that are Delaware related but kept in Pennsylvannia.,1784-1804,1,Pennsylvania,
23,17,List of Delaware Papers From Pennsylvania,,1807,2,Pennsylvania,
