Begin_Year,End_Year,File Name,File_Date,Number_of_Items,Box_Num,Barcode,TD_Num,Comments
1973,1998,Alcoholic Beverage Control Commission,,18,01 of 33 ,545568,6139,
1998,2000,Alcoholic Beverage Control Commission,,22,02 of 33 ,545569,6139,
1999,2007,Alcoholic Beverage Control Commission,,14,03 of 33,545570,6139,
1987,2007,"Accountants, Board of",,9,03 of 33,545570,6139,
1997,1997,Accupuncture,,1,03 of 33,545570,6139,
1996,1996,Administrative Services Branch,,1,03 of 33,545570,6139,
1988,2009,"Adult Entertainment Establishment, Commission on",,3,03 of 33,545570,6139,
1998,1998,Advance Life Support Committee,,1,03 of 33,545570,6139,
2000,2000,Anesthesia Information,,1,03 of 33,545570,6139,
1982,2005,"Architects, Board of",,5,03 of 33,545570,6139,
2006,2006,"Architects, Board of",,1,04 of 33,545571,6139,
2008,2008,"Arts, Division of the",,1,04 of 33,545571,6139,
2008,2008,"Arts, Division of the-Delaware State Arts Council",,2,04 of 33,545571,6139,
2002,2003,Athletic Commission (Boxing),,2,04 of 33,545571,6139,
1977,1988,Attorney General Opinion,,1,04 of 33,545571,6139,
1991,1993,"Auctioneer, Board of Examiners",,1,04 of 33,545571,6139,
1982,1992,"Bank Commissioner, State Board/Office of",,4,04 of 33,545571,6139,
1990,1990,Bicycle Council,,1,04 of 33,545571,6139,
1975,2011,"Bingo/Gaming Control, Commission/Board",,5,04 of 33,545571,6139,
2000,2001,Boiler Safety,,1,04 of 33,545571,6139,
1999,2001,Bounty Hunter/Bail Enforcement Agents,,2,04 of 33,545571,6139,
1993,1994,Building Inspectors,,1,04 of 33,545571,6139,
1993,2001,"Cancer Control, Advisory Council of",,9,04 of 33,545571,6139,
1999,1999,"Cancer Control/Teen Smoking and Sales, Advisory Council of",,12,04 of 33,545571,6139,
2000,2000,Cancer in Children,,1,04 of 33,545571,6139,
1994,2000,"Cancer, Governor's Task Force on",,1,04 of 33,545571,6139,
1985,1994,Cash Management Policy Board,,2,04 of 33,545571,6139,
1997,2000,Cemeteries,,2,05 of 33,545572,6139,
2011,2011,"Child Care Licensing, Office of",,1,05 of 33,545572,6139,
2002,2011,Child Placement Review Board,,1,05 of 33,545572,6139,
2004,2007,"Child Support Enforement, Division of",,6,05 of 33,545572,6139,
1986,2001,"Chiropractic, Board of",,5,05 of 33,545572,6139,
1992,1997,"Clinical Social Work Examiers, Board of",,7,05 of 33,545572,6139,
2006,2006,Commere and Trade - Fair Credit Reporting Act,,1,05 of 33,545572,6139,
1998,1998,Commere and Trade-Pet Warranty,,1,05 of 33,545572,6139,
1995,1995,"Communiable Disease, Center of",,1,05 of 33,545572,6139,
,,Compensation Boards and Commissions,,1,05 of 33,545572,6139,No record dates
1995,1995,Complementary Health Care Practice,,1,05 of 33,545572,6139,
2007,2008,Conservation Districts,,1,05 of 33,545572,6139,
2007,2007,Conservation Districts-Kent,,4,06 of 33,545573,6139,
