Subject,Author,Title,Date,Box Number,Barcode
Addresses etc.,,Ardensingers,1969,1,390184
Addresses etc.,,Ardensingers,1971,1,390184
Addresses etc.,,"Brandywiners, Ltd. (The Fortune Teller)",1951,1,390184
Addresses etc.,"Miller, Arthur","Crucible, The Arden Players Guild",1967,1,390184
Addresses etc.,"O'Neill, Eugene","Long Day's Journey into Night, Arden Players",1971,1,390184
Addresses etc.,,"Dover Century Club, U of D Choir",1940,1,390184
Addresses etc.,,"Kiwanis Kapers, ""The Minstrel Valentine""",1938,1,390184
Addresses etc.,,"Longwood, United States Marine Band",1930,1,390184
Addresses etc.,,"Dover Choral Society, Chimes of Normandie",1925,1,390184
Addresses etc.,,Management of the Capitol Theatre invitation to inspection of talking picture equipment,1930,1,390184
Addresses etc.,,"Kent General Hospital Benefit  (""The Rose Maiden"")",n.d.,1,390184
Addresses etc.,,Dover Choral Society (hospital benefit),1927,1,390184
Addresses etc.,,Congregation Beth Sholom- Politics Morality Decisions,1975,1,390184
Addresses etc.,,Official Sesqui Centennial Daily Program ...,1926,1,390184
Addresses etc.,,Washington's Farewell Address .....,1912,1,390184
Addresses etc.,,Delaware Day - Sesqui - Centennial    (11 copies),1926,1,390184
Addresses etc.,"Pennewill, Hon. James",Address Delivered at the Jamestown Exposition,1907,1,390184
Addresses etc.,,"Channel 12, The Year of the Million Dollar..",1966,1,390184
Addresses etc.,,Fifth Delaware Preservation Conference,1970,1,390184
Addresses etc.,"Carlton, Henry Fisk",Caesar Rodney's Ride,1932,1,390184
Addresses etc.,,"At The Playhouse, Sing Out Delaware",1970,1,390184
Addresses etc.,,Ball Room - Hotel Dupont (song recital by Beatrice Kendall Eaton),1922,1,390184
Addresses etc.,,"First State Chorus, Del-Mar-Va Goes Barbershopping",1976,1,390184
Addresses etc.,,Delaware Music Camp,1962,1,390184
Addresses etc.,,"Delaware State Hospital, Farnhurst Delaware",1939,1,390184
Addresses etc.,,Delaware Building,n.d.,1,390184
Addresses etc.,,29th Delaware Dramatic Conference,1968,1,390184
Addresses etc.,,"To Delaware, A Choral Reading",1975,1,390184
Addresses etc.,,Dover Community Concert Association  Music from  Marlboro,1976,1,390184
Addresses etc.,,Plays and Players at The Playhouse,1922-23,1,390184
Addresses etc.,,Delaware Institution / The Playhouse  (Claudia),n.d.,1,390184
Addresses etc.,,Delaware Institution / The Playhouse   (The Happy Days),n.d.,1,390184
Addresses etc.,,Barter Theatre of Virginia,1948,1,390184
Addresses etc.,,Cooperative Concert Association  (Mildred Dilling)  2 copies,1942,1,390184
Addresses etc.,,Cooperative Concert Association/The Kraeuter Trio,1941,1,390184
Addresses etc.,,Cooperative Concert Association  (Dorothy Crawford),1941,1,390184
Addresses etc.,,Cooperative Concert Association  (Robert Marshall),1941,1,390184
Addresses etc.,,Cooperative Concert Association  (Don Cossack Choir),n.d.,1,390184
Addresses etc.,,"Kent General Hospital - Benefit Recital Myrtle Day, Lyric Soprano",1944,1,390184
Addresses etc.,,Dover Junior Chamber of Commerce  (Christmas Music Festival),1941,1,390184
Addresses etc.,,"Community Singers, Inc.  (Oklahoma)",1973,1,390184
Addresses etc.,,Tribute to DE/Broadcast by General Motors,1932,1,390184
Addresses etc.,,First Biennial State Convention,1944,1,390184
Addresses etc.,,Flash Baffo Wham / Dover Show Biz,1969,1,390184
Addresses etc.,,Don't let Live Theatre Die in Dover,1969,1,390184
Addresses etc.,,Grand Opera House Season,1975,1,390184
Addresses etc.,,Forty-Fourth Annual Delaware Show,1957,1,390184
Addresses etc.,,Longwood Gardens / Evening Displays,1958,1,390184
Addresses etc.,,Delaware Art Center,n.d.,1,390184
Addresses etc.,,Wilmington Society of the Fine Arts,1957,1,390184
Addresses etc.,,Delaware Heritage Commission presents the First State Chorus,1987,1,390184
Addresses etc.,,Holy Cross Church / Organ Recital  (Swinnen and Davis),1928,1,390184
Addresses etc.,,Third Annual Wilmington Hobby Show  (2 copies),1950,1,390184
Addresses etc.,,Playhouse/Wilmington Symphony Orchestra,1945,1,390184
Addresses etc.,,Playhouse/Wilmington Symphony Orchestra  (2 copies),1944,1,390184
Addresses etc.,,"Garrick and Forrest Theatres, Philadelphia, programs",1922,1,390184
Agriculture,,Postcard - Delmarva Poultry Princess  (2 copies),n.d.,1,390178
Agriculture,,"Delaware State Grange, official directory",1980,1,390178
Agriculture,"Ratliff, Nancy E.",Sussex County Home Demonstration Clubs,1952,1,390178
Agriculture,,Fruitland Grange,1925,1,390178
Agriculture,,Fruitland Grange,1979,1,390178
Agriculture,,You're invited Del-Mar-Va Chicken Festival (4 copies),1950,1,390178
Agriculture,,Farmer's Association - Constitution & By-Laws,1887,1,390178
Agriculture,,"Delaware State Grange, 50th Anniversary",1924,1,390178
Agriculture,,Let's Eat Delaware Chicken,n.d.,1,390178
Agriculture,"Mancha's, J. Frank",Farm Catalogue for Delaware,1877,1,390178
Agriculture,,46th Annual Delmarva Chicken Festival,1994,1,390178
Agriculture,"Davis, Clement B.",Game Farming for Profit and Pleasure  (2),1915,1,390178
Agriculture,,Delaware Farm Markets Directory,1983-87,1,390178
Agriculture,,Delaware Agricultural Museum,1984,1,390178
Agriculture,,"State Fair, Harrington",1986,1,390178
Agriculture,,"Delaware State Fair, Fairview Park",1898,1,390178
Agriculture,,"Address, The Agricultural Society of Kent..",1860,1,390178
Agriculture,,Banquet & Program given by Capitol Grange,1929,1,390178
Agriculture,,Tour of Dover - Delmarva Chicken Festival (3 copies),1950,1,390178
Agriculture,,State of Delaware - Circular of Information,n.d.,1,390178
Agriculture,Clark & Son,Farms That Pay!,1880,2,482941
Agriculture,"Harvey, Fred",Pioneer Windmills,1961,1,390178
Agriculture,,"Something Worth Visiting, Delaware State Fair",1967,1,390178
Agriculture,,12th Annual Delmarva Chicken Festival  Something to Crow About,1959,1,390178
Agriculture,,Price List of the Centreville Nurseries,1872,1,390178
Agriculture,,Farmers Cooperatives and Your Food Bill,1974,1,390178
Agriculture,"Harrington, H. Ridgely",Apple Culture in the Early Lands of Delaware,n.d.,1,390178
Agriculture,"Manns, T. F.",Fifty Years of Service by the Peninsula Horticultural Society,1937,2,482941
Agriculture,,Marker's Poultry Farms of Delaware,1950,1,390178
Agriculture,"Skoglund, W.C.",Story of the Chick,1950,1,390178
Agriculture,,"Kent & Sussex County Fair, Inc. Harrington Annual Report to Stock…",1955,1,390178
Agriculture,,Delaware,1926,2,482941
Agriculture,"Pusey, Lea",Beet Sugar Industry,1876,1,390178
Agriculture,,Premium List - Of the Tenth Grand Exposition,1887,1,390178
Agriculture,"Comegys, C. G., M.D.",Plea for A Farmers Institute,1883,1,390178
Agriculture,,Delaware State Fair,1889,1,390178
Agriculture,,52nd Annual Delaware State Fair  (Premium List and Order of Arrange…,1971,1,390178
Agriculture,,53rd Annual Delaware State Fair (Premium List and Order of Arrange…,1972,1,390178
Agriculture,,Premium List andOrder of Arrangements 54th Annual DE State,1973,1,390178
Agriculture,,Premium List and order of Arrangements 55th annual DE State,1974,1,390178
Agriculture,,Premium List and order of Arrangements 57th Annual DE State,1976,1,390178
Agriculture,,Proceedings of the 110th Annual Session DE State Grange,1984,1,390178
Agriculture,,Proceedings of the 111th Annual Session DE State Grange,1985,1,390178
Agriculture,,Premium List and Order of Arrangements 15th Annual Kent &,1934,1,390178
Agriculture,,Premium List and Order of Arrangements 20th Annual Kent and S,1939,1,390178
Agriculture,,"Delaware, The Diamond State",1948,1,390178
Agriculture,,Delaware Poultry Handbook; 14th ed.,1959,1,390178
Agriculture,,Delaware Poultry Handbook ( copies),1947,1,390178
Agriculture,,Delaware Poultry Handbook,1949,1,390178
Agriculture,,Delaware Poultry Handbook,1950,1,390178
Agriculture,"Wysor, W. G.",Southern States Story - The First 35 years,1959,2,482941
Agriculture,,Delaware Greens (2 copies),1973,1,390178
Agriculture,,James Tilton's Notes on the Agriculture ...,1947,1,390178
Agriculture,"Allmond, C. M.  Ed.",Agricultural Memorandums of Samuel H. Black.. 1815-1820,1950,1,390178
Agriculture,,Business Review,1953,1,390178
Agriculture,,Story of Water Supply (2 copies),n.d.,1,390178
Agriculture,,Soil Conservation,1951,1,390178
Agriculture,,Business Review (2 copies),1950,1,390178
Agriculture,,Pioneer Canning By Farmer's Son Opened ....,1953,1,390178
Agriculture,,Rules of the Road    (2 copies),n.d.,1,390178
Agriculture,"Crosson, Donald F.   Ph.D",State Agricultural Research System and ..     (2 copies),n.d.,1,390178
Agriculture,"Smith, Raymond C.",Delaware's Farm Income,1972,1,390178
Agriculture,"Smith, Raymond C",Delaware Farm Income Acreage of Crops.....,1967,1,390178
Agriculture,,News Packet 12th Annual Delmarva Chicken...,1959,1,390178
Agriculture,,United States Census of Agriculture,1959,2,482941
Agriculture,"Palmer, Charles C.",History of Veterinary Medicine in Delaware   (2),1959,2,482941
Agriculture,,Statistical Summary,1959,2,482941
Agriculture,,21st Annual Delmarva Chicken Festival,1968,1,390178
Agriculture,,Bartlett Pears,1985,1,390178
Archaeology,"Weslager, C. A.",Brief Account of the Indians of Delaware  (3 copies),1953,5,390177
Archaeology,"Peets, Orville H.","What, Really, Were Gorgets?  (2 copies)",1965,5,390177
